#,Positive,Negative,Neutral,Objective,Subjective,Happy,Sad,Stressed,Calm,Angry,Motivated,Unmotivated,Tired,Energetic,Disgusted,Social,Lonely,No Control,Control,Guilty,Accepting,Embarrassment,Pride
31,I know this will make a good memory,I feel horrible,Yeah it was whatever,,,Took a road trip to San Francisco with my husky puppy and took this wonderful pic that brings me so much joy!,It's like I'll never escape these student loans.,Her parents kept talking to me about oh job this and money that and money money money and i'm so tired of hearing about their greedy crap,I've been taking deep breaths and it's really helping me,I am so freaking pissed off I could kick a baby,Ready as I'll ever be,It's not reasonable for me to have all this work,It has been months since I've been able to take a vacation or any kind of time to relax,"I've felt alert, aware, and awake",Literally my skin feels like it is crawling off,Christine took me out to the club,I haven't heard from my friends in a while,I feel like I want to hide away in my apartment and never leave,Everything I've set out to do is working out,Late at night I can basically see all my mistakes coming back to haunt me,Finally I am at peace with my decisions,,
32,I found my lost cats!," On my 17th birthday I got violated by my driving instructor, I told my parents but we did nothing",You win some you lose some,,,After 6 excruciating years of not understanding maths I got my first A on a math test!!!!!,I stayed in bed all day,I am so overwhelmed with all this work,All the rough parts are over and I am cruising,That asshole stole five fucking thousand dollars from me I am going to kill him,"I've put in the effort and what I'm going to do I will do, no matter how easy or hard",I don't want to do anything today,I haven't been able to chill since who knows how long ago,This tea is doing wonders for keeping me awake and giving me energy,"I hate the sight of blood, yuck",Fish and I played the switch and it was nice to have some sister bonding time,Then Liz kicked me out of our group chat saying something about me being unhealthy,I don’t know what to do and I constantly feel like I’m going to cry,I can't believe how well things are going,I am totally feeling guilty about it,I feel at complete peace with my decisions,,
33,My father returned from his active duty today," I got bullied in elementary school because I didn’t know how to fit in, my world didn’t align with the way other people saw it",I can't complain,,,"I finally found a song that I really love that's been stuck in my head for years, but I couldn't find it until today and i got goosebumps listening to it :))))",Took a depression nap for a few hours,My schoolwork is overwhelming,I feel like I'm on a cruise,I am so freaking angry,I was looking forward to trying out the different tools,Today was a lazy day,I've never felt this burned out in my life,It has been great to feel energetic and alive,Yuck!,It was great getting to have some quality bonding time with my soon to be brother in law,All my friends got on a Zoom call but I was stuck working so I couldn't even say hello, I don't even think logically I can grow but it's absolutely my worst insecurity and one of my worse fears and I feel so enormous,It sucked but I managed to get all that I set out to do done,"I ate too much, much more than I should have, and I feel so guilty",I have made peace with my enemies,,
34,My sister was discharged from the hospital and got to come home," I really hate talking to him and he scares me, but I am also scared to stop contacting him completely because he could easily make up lies about me or tell others stuff that I don’t want them knowing",I'm not going to get too upset over it,,,I got extra credit on my science project,I don't see things getting better,I am literally working 12 hour days and I'm not sure how much more I can keep this up,I got to sit back and let out a sigh of relief,I am filled with rage,I stayed up until 2 in the morning because I was just so laser focused on getting this app launched,It was such an unproductive afternoon,I feel super burned out,I feel alive!,Freaking disgusting,Oh my gosh it was so great sitting out on the grass with him,I wasn't invited to their party," I am upset by the fact that I worked so hard on things like IRB approval and research for MARCo and building MARCo, and now it's going nowhere",I managed to check off all the big items on my todo list today,The memory of me hurting her still haunts me,I forgave my enemies and my friends alike,,
35,I finally got over that damn cold,"I've dealt with depression and anxiety for about three and a half years, and it's pretty much only gotten worse as time went on, until recently",I guess it was just okay,,,Probably nobody cares but I’m just sooo insanely proud of myself and I really want to talk about it. ,My sister has a boyfriend but I'm all alone,I'm too busy to keep up with my friendships and it sucks.,ah it was so nice to just be on the beach and I felt like I could fall asleep it was so comforting,I am furious with that prick,We are making good progress and I felt super inspired!,Literally nothing got done today,"After all that, I am just so burned out",I've never felt so alive ,I feel disgusted,"We talked on the phone for a while, it was nice to catch up",My family all has basically abandoned me,"My life just keeps going in circles and every time I try to make progress, someone else just pulls me down and brings me back",My todo list was done,I am really regretting the fight,I accept the results and I'm ready to move forward,,
36,I lost 12 pounds this month, I don't think i can recover,Things were neutral,,,"I dont know, I’m just soooooo happy. I’ve never been this proud of myself before.",No boy is ever going to like me,"It's just Jake do this, Jake do that, you need to do this, you need to do that, I can't take it anymore",I am all cuddly and warm and fuzzy wrapped up in my blanket,How dare she accuse me when she is such a hypocrite,I am inspired,Nothing is going to get done and this will get nowhere,"This past year has left me exhausted, burned out, dog-gone tired, whatever you want to call it",It was so exciting I'm literally so excited,I am so disgusted with the human race watching these human rights disappear,The best part of today was hanging out with some of my friends though,Even when I'm around people I've never felt so lonely,"It's like I can't make any decisions for myself in this house, somebody always has to say something else",I got a lot done today and it felt so good,I regretted it as soon as I said it,I just want to accept it and move on,,
37,I feel great in my body for once,Now I'm at my lowest,Overall today was a neutral day,,,Started therapy for the first time in years. I’m so ready to be happy again.,No girl will ever love me again,I cannot take this anymore,I feel so content I could just drift off to sleep,I swear I am going to explode I am so furious,I have felt very inspired and productive,"If I'm being honest, I don't feel like running tomorrow",My body is covered in aches and chills and I just feel ready to collapse with exhaustion,I cannot tell you how excited I was for this,I hate seeing these rolls of fat on me,I went out to a wine and paint night with the girls,I feel so disconnected from God,"I can't even have an opinion, I can't wear any clothes I want to, I literally have no autonomy in this household.","Finally, I feel like I've managed to get plenty of things done",I've been filled with regret,I'm ready to accept that I messed up and move on,,
38,I looked damn fine in my swimsuit, She kept going which made me feel worse and worse and eventually she said that what I had said made her feel like garbage and that made me feel the worst out of it all,It was an okay day,,,These two cuddle buddies . They male my heart very full of love,I miss her so much,I feel suffocated,I am calm,"Don't even start, I cannot describe how enraged I am","I have been super motivated, productive, and inspired lately",How do I tell my coach that I don't want to play tomorrow?,I have absolutely no energy whatsoever,I couldn't sleep I was just so excited for this,"There was this gross, misshapen form of a sad human being looking back at me",Joey and I took a stroll through the park,I felt very disconnected from my friends when we were hanging out,I feel like I have no self control with this addiction,I broke my addiction,I regretted ever going to that stupid party,I feel ready to forgive them and move on,,
39,Today is the best day of my life, I’m just really scared of this girl and I know I shouldn’t be,Today was an okay day,,,Graduated high school last week (mom went overboard with the signs lol). I'm officially an adult!,I miss feeling loved,I can’t even keep a steady 500 in my savings but yet I want to save up for college so one day I can get a doctorates degree.,I am relaxed,"These people only care about themselves, how could they be so selfish and only care about money!","It's finally at a point where I get to do the fun work, the work I like doing",I'm thinking of quitting the team,I am just dog gone tired all the time,I'm ready I'm ready I'm ready!,Daniel threw up a ton of beer onto my feet,Sarah and I had a long phone call,It's like I'll never find a person who wants to date me,I am addicted,I am back in control of my life,It was the biggest mistake of my life,I just want to grow up past these childish fights and accept that maybe we were both wrong,,
40,I will never feel bad again,I don't like living in the home I grew up in,Yeah it was fine whatever,,,"I've been going trough a lot lately, but making this playlist full of the most joyful songs I know really helped me. I hope by sharing this, it can do the same to you :)",I am so depressed,. I just need air I’m breathing fine but I need air.,I finally got a chance to unwind and ease my mind,I hate these awful people they are terrible and piss me off to no end,This work has been super easy and I've been breezing through it,I want to quit the team,I have a sleep study tomorrow for all this exhaustion,,"It smelled like a rotten, dead body",I'm going to a potluck dinner tonight at my old roommate's flat,Nobody is on my side,I am addicted to pornography,I have autonomy over my decisions again,This was the worst mistake of my life,I accept that I was wrong in this situation,,
,I am happy," So many bad memeries, not much has changed, everything is dated",,,,We had a lot of fun going through this game,I have been struggling with severe depression,I have so much I want to do with my life but I feel like I don’t have any of the dedication to the day to day work it takes to reach my dreams.,,Me and my mum are just moody bitches and like wtf does Rob want.," I can be a total busy bee if I have people around me and interacting with me, I thrive in a commune type environment, if I'm working in a team I get shit done"," Probably not going to finish in time, and likely fail that too","I woke up later than I wanted to, and I just felt dead tired",,,"recess/break time, went out and my friends started talking to me again, weird but all was back to normal. I was standing eating chips before a bird took a sh*t on my back, I laughed it off and, although there was duke on my jacket, I felt a little better",She then went on to say that after that she can't imagine ever talking to me normally again,I am addicted to weed,I can finally make my own decisions,"I feel stupid, like he's angry or hates me and I keep trying to make things work.",,,
,I feel so happy,I am angry,,,,I finished my rendering and it looks amazing!,I don't feel like I want to live anymore,I'll be off my meds for a week by then and I'm kind of freaking out.,,Hey Universe you aint win bitch I have a blunt at home .. you cant Destroy me BITCH..,,"Not once, not twice, but three times did they ruin something.","My head constantly feels like it has a bag of lead bricks in it, and it won't go away",,,,Then she blocked me,But I felt so many emotions at once that it all blobbed together.,,,,,
,I feel relaxed,I am pissed off,,,,I was happy because they wanted me to be happy.,Nobody told me Happy Birthday today…,The withdrawal hasn't been horrible yet but I'm definitely anxious and extremely irritated by everything. ,,"woke up and instantly had that feeling in my gut, for some reason I was angry about everything around me, but this anger stopped as I got out of bed.",," Went home and studied, didn't do anything much as I was feeling quite ashamed of my score and didn't have the motivation to do anything.",Usually I'm fine but I have had chest pains and feel sick to my stomach.,,,,She was the last of my close friends and the last person I trusted,,,,,,
,This was relaxing,I feel so stressed,,,,It was the best day I've had in a while,I’m so sick of these kinds of days because I don’t just have bad days that’s my life,I hate that I can’t wait for things without sensing impending doom.,,"And I'm pissed at Paras for still not doing anything I need. ANd he's getting on my ass about the website. It's all awful. Everything sucks right now, at least that's how it feels. ",,"I feel like I want to give up. Like, I literally do not know why I am doing things anymore. It sucks. ",,,,,I'm pretty anti social but I am completely alone,,,,,,
," My friends from college are amazing, I guess they do care","
I don't know how to keep a friend and I don't know how to want to have friends",,,,Things turned out very well,I’m in my next class and I lose it and start quietly cry to myself,Lately I've been having trouble sleeping becuase I'm scared my father will beat me again.,,"I did not sleep very well last night, so that was a bit frustrating.",,,,,,,"I have no one anymore, I haven't left bed since this happened, I'm so fucking depressed",,,,,,
,Literally it made me so happy I could cry.,She then went on to say that after that she can't imagine ever talking to me normally again,,,,"I asked a girl out and she actually said yes, can you believe that?",I just found out this week that I will not be graduating on time because I'm short of credits.,I cannot tell you how much I've been dreading this.,,,,,,,,, Our first and only argument ended my last good friendship,,,,,,
,This was the best day ever!,Then she blocked me,,,,I was thrilled to hear that.,I can't believe this., My own mind is tearing me apart and my actions weigh on me like I'm carrying a truck,,,,,,,,,"Sitting in collage for my first period, all was ok, but for some reason none of my friends were here. And the few here weren't talking to me.",,,,,,
,I laughed so freaking hard.,She was the last of my close friends and the last person I trusted,,,,We are making good progress and I felt super inspired!,t's 1 am and the thought that my dad has stole a car with money and well with a way of making money has drove off into the sunset has sunk in.," I was so scared of losing her, she was my last true friend",,,,,,,,,One thing led to another and now I’m sitting in the cafeteria all alone. I miss my best friend.,,,,,,
,I have not been able to stop smiling., Everything just sucks I have no one I cant truly talk to anyone because I act like everything with me is okay but in reality it’s the exact opposite,,,,I am inspired,I'm now like me an my dad are close even with everything that I can't be arsed taking about.,1hr into my shift I was yelled and sworn at.,,,,,,,,,,,,,,,
,I am happy.," Often times when I'm feeling incredibly stressed out, over no particular reason, I often get this feeling of stress over the immediate future",,,,I have felt very inspired and productive,"Not once, not twice, but three times did they ruin something.","Then I was yelled at a few more times. I haven't been trained yet for my job and am still learning. Nothing was screwed up I just asked if I needed to prep a leader for the he next run, and I was berated by a price of shit.",,,,,,,,,,,,,,,
,I am so overjoyed I cannot tell you how much I am.,i'm having a rough night tonight,,,,"I have been super motivated, productive, and inspired lately",There was a lot of bad things going on in one day.,Usually I'm fine but I have had chest pains and feel sick to my stomach.,,,,,,,,,,,,,,,
," My friends from college are amazing, I guess they do care"," between everything that has been going on with corona and now these insane riots in MN, I'm feeling extremely anxious",,,,"It's finally at a point where I get to do the fun work, the work I like doing",My husband is dealing with some serious mental health issues.,So I wake up and bam I’ve slept 30 minuets past my alarm so I get up get dressed screw breakfast haven’t had that in days.,,,,,,,,,,,,,,,
,My boyfriend is literally the best person on the entire planet; he got me a nintendo switch!, I've tried laying down and just watching random YouTube videos to distract myself but my head is actually aching from the anxiety,,,,Today's been pretty good.,"He left in the middle of the night last night, this time on foot and without his glasses.",To save me writing out a script for the phone call we get told my dad has been missing for 4 days,,,,,,,,,,,,,,,
,My girlfriend is amazing!, I just want to curl up in a ball under a blanket and hide from the world,,,,It was totally awesome!,"This has been going on for over two years at this point. It makes me, the kids and grandma worried every time. He doesn't seem to care about anything anymore.",My mum and dad are split up.,,,,,,,,,,,,,,,
,"I love Mr. Snuggles, he just takes care of me.", I don't even think logically I can grow but it's absolutely my worst insecurity and one of my worse fears and I feel so enormous,,,,Yeah I'm pleased,"I feel stupid, like he's angry or hates me and I keep trying to make things work.",Fire Alarms causes a bad day,,,,,,,,,,,,,,,
,I got an A on my exam!,I am stressed,,,,You know it's been pretty good.,Today was by far a series of unfortunate events and i truly don’t know why the universe decided today was a going to be the day where they take a baby dump on my life,Today was by far a series of unfortunate events and i truly don’t know why the universe decided today was a going to be the day where they take a baby dump on my life,,,,,,,,,,,,,,,
,So the company ended up giving me a 30% raise.,! I don’t even talk to her ex very much anymore but she’s still ruthless,,,,I'm feeling grand.,"So lets start off with i woke up and tried to get a free ride from my parents because i was broke and I needed the ride I ended up being late on my first day of the semester, then on my way to my last class i lost my box charger to my hearing aid so now .","ate breakfast, at this point I thought ''Hmm this might be, ok',' but at the same time I still had a bit on anxiety.",,,,,,,,,,,,,,,
,My boss promoted me to the new job after I asked.,I do not get shit done,,,,Today was great.,"The worst monday I've ever had,",Surprise science exam! Today was not a good day as I completed little revision/homework due to my tennis matches over the weekends. Looked at the exam and instantly knew. I was no going to do well.,,,,,,,,,,,,,,,
,It's the best day EVER!,And I don't feel good either,,,,That was super cool.,bad day story:,"Tennis training, my coach is very strict and expects us 'never to make the same mistake twice'. This means when he corrects us, he expects us to remember and not make the mistake again. If we do he does get angry. I started off the lesson warming up and I tripped doing my warm up laps, not a good start to an intense training round. I skimmed my arms and hands, but overall I was fine. We got in and he said, 'today we are working on very advance techniques'. And we needed to move along quickly as it was getting dark soon and the flood lights were under repair (just my luck that the flood lights are being repaired today?). This meant today of all day, I can't make any mistakes. AT ALL. Everyone seems to get the hang of it, but for some reason I was making very beginner mistakes, at a point that I was so unconfident that I couldn't even serve the ball properly nor return it, and this got the coach REALLY mad. After one hour of yelling I went home and sat there in silence. I had homework but just couldn't do it.",,,,,,,,,,,,,,,
,We went to the waterpark and it was so much fun.,I’m just tired of everything I hate everything nothing brings me joy or makes me feel happy all I do all day is lay in bed doing nothing as my life passes me by,,,,I have a new boyfriend now,"last period of the day. I had maths and I got my results back, 51%... this was a important exam as well as it is going into my report for my parents to see, I'm not sure what happened. My last math exam I topped the class with a 91%. I took a look at my answers and the mistakes were all small errors that caused me to lose the entire mark per question. The feeling for a bad day has returned. As the bell for home time, I walked home feeling very depressed.",It fucking sucks. I'm so tired of going nowhere in my life. I'm so tired of feeling worthless,,,,,,,,,,,,,,,
,I am so excited to go to Disney.,I have the ACT coming up this Saturday,,,,I won two tickets to the Mets game,I've been feeling super depressed all day today. I think marketing is getting to me. It's my first time really putting MARCo out there and it's not going well at all.,Yes my expectations are too high. I feel like I should be doing inhuman amounts of work.,,,,,,,,,,,,,,,
,"Can you believe it, I actually won something in bingo?","I have the ACT coming up this Saturday, and I don't feel prepared",,,,I am going to my dream school,I'm getting a lot of troll feedback. Jerks on the internet are disliking my stuff and calling me useless. That useless thing really hit hard. ,I’m pathetic and worthless. I must get a full time job. I have to move out from my parents house soon. If I don’t then I don’t deserve to be called an adult.,,,,,,,,,,,,,,,
,I got off of work early today which was so nice,"I also will have random anxiety attacks surrounding things that I've put off too long, like cleaning the house, or some chore I've been putting off, I'm seemingly unable to clear the anxiety until I accomplish one of those chores, or I do mediation/breathing exercises until I fall asleep.",,,,What could be a better day,I feel like I want to give up.,"Oh boy today has been a ride. I stayed up super late last night for Baja because we have deliverables due tomorrow and Katie has not pulled her part. But, since it's Katie, and I know she's going through a lot, I did her parts for her. ",,,,,,,,,,,,,,,
,I really appreciate all he did for me,"I try and tout logic to help my decision-making, but I tend to find myself making seat of my pants decisions because of anxiety or fear.",,,,Literally this was like something out of a dream,I find it difficult to share that I feel so disconnected from God and I don't know how to fix that. I also find it difficult to share that I miss cutting.,So I had to sprint over to class to get there already 20 minutes late and everyone was looking at me like I'm an idiot.,,,,,,,,,,,,,,,
,I do appreciate all that God has done for me,I also find that after going to counselling I'll be even worse for like a week after.,,,,Our date went really well,I’m turning 25 and I don’t feel like I’m the kind of adult I should be. I’m still living with my parents. ,,,,,,,,,,,,,,,,
,I am so grateful for such a beautiful day,Since dating my wife I've come to realize that for the most part my family is emotionally manipulative and my worst mental health days come after spending time with them. ,,,,The presentation went very well!,I’m pathetic and worthless. I must get a full time job. I have to move out from my parents house soon. If I don’t then I don’t deserve to be called an adult.,,,,,,,,,,,,,,,,
,We just got another customer!!!,"Plus, the fact that I don't yet have a set pricing scheme makes me nervous",,,,I got paid $500 today!,,,,,,,,,,,,,,,,,
,I cannot believe we got another customer I'm thrilled!,"So I immediately started feeling depressed and anxious and yelled fuck fuck fuck fuck over and over again for several minutes",,,, I had been a little bit famous years before as I played a main character on a British TV show,,,,,,,,,,,,,,,,,
,"It was the nicest, most genuine thing anyone has ever done for me",It just stresses me more than anything,,,,I have an online boyfriend,,,,,,,,,,,,,,,,,
,I have not stopped smiling all day, I also have severe social issues and social anxiety,,,,So there is the guy at my school who I added on Snapchat,,,,,,,,,,,,,,,,,
,The party was so much fun especially," My family went through financial difficulty and lost our business and home, I had to move far away with what I could carry in the back of my mother's car",,,,We got along right off the bat and would text through sc a lot,,,,,,,,,,,,,,,,,
,Painting this giant galaxy scene brought me so much genuine happiness!," Yet at the moment I’m experiencing some issues such as getting very anxious in public to the point of sweating, high heart rate (just walking around town), anxiety talking to people I’ve known for a few months (pre-outbreak), not wanting to go in public in general because I despise how I look and a huge lack of motivation to do any daily tasks, homework or exercise",,,,I passed my test,,,,,,,,,,,,,,,,,
,Today I got a hug from a girl since it is the last day of school and she said she is gonna miss me and I am really happy now.,I have no idea how I am going to pay the bills today,,,,I passed my interview,,,,,,,,,,,,,,,,,
,"A boy rejected my best friend when she asked him to prom, she was upset so today I surprised her at her house and promposed! It was so nice to see her so happy.",I'm scared that I'm going to run out of cash before the end of the month and I've never been in debt before,,,,My mom and dad finally stopped fighting,,,,,,,,,,,,,,,,,
,I was down bad in CC debt and interest payments — I finally put my foot down and it feels so good,I've recently started panicking sometimes when I cuddle with my girl and she for example is laying on top of me and I can't just sit up if I want to,,,,My band's show went great!,,,,,,,,,,,,,,,,,
,Took a road trip to San Francisco with my husky puppy and took this wonderful pic that brings me so much joy!,Most of the times I don't even want to but I realise that I can't and starts to panic.,,,,,,,,,,,,,,,,,,,,,
,After 6 excruciating years of not understanding maths I got my first A on a math test!!!!!," Unfortunately, lessons in college are really fast paced and my technique doesn't work anymore. ",,,,,,,,,,,,,,,,,,,,,
,"I finally found a song that I really love that's been stuck in my head for years, but I couldn't find it until today and i got goosebumps listening to it :))))",You have no idea how much it freaked me out,,,,,,,,,,,,,,,,,,,,,
,I got extra credit on my science project,Her parents kept talking to me about oh job this and money that and money money money and i'm so tired of hearing about their greedy crap,,,,,,,,,,,,,,,,,,,,,
,Probably nobody cares but I’m just sooo insanely proud of myself and I really want to talk about it. ,I am so overwhelmed with all this work,,,,,,,,,,,,,,,,,,,,,
,"I dont know, I’m just soooooo happy. I’ve never been this proud of myself before.",My schoolwork is overwhelming,,,,,,,,,,,,,,,,,,,,,
,Started therapy for the first time in years. I’m so ready to be happy again.,I am literally working 12 hour days and I'm not sure how much more I can keep this up,,,,,,,,,,,,,,,,,,,,,
,These two cuddle buddies . They male my heart very full of love,I'm too busy to keep up with my friendships and it sucks.,,,,,,,,,,,,,,,,,,,,,
,Graduated high school last week (mom went overboard with the signs lol). I'm officially an adult!,"It's just Jake do this, Jake do that, you need to do this, you need to do that, I can't take it anymore",,,,,,,,,,,,,,,,,,,,,
,"I've been going trough a lot lately, but making this playlist full of the most joyful songs I know really helped me. I hope by sharing this, it can do the same to you :)",I cannot take this anymore,,,,,,,,,,,,,,,,,,,,,
,We had a lot of fun going through this game,I feel suffocated,,,,,,,,,,,,,,,,,,,,,
,I finished my rendering and it looks amazing!,I can’t even keep a steady 500 in my savings but yet I want to save up for college so one day I can get a doctorates degree.,,,,,,,,,,,,,,,,,,,,,
,My boss promoted me to the new job after I asked.,. I just need air I’m breathing fine but I need air.,,,,,,,,,,,,,,,,,,,,,
,I am so ready to take on tomorrow.,I have so much I want to do with my life but I feel like I don’t have any of the dedication to the day to day work it takes to reach my dreams.,,,,,,,,,,,,,,,,,,,,,
,I feel motivated.,I'll be off my meds for a week by then and I'm kind of freaking out.,,,,,,,,,,,,,,,,,,,,,
,I am so freaking pumped,The withdrawal hasn't been horrible yet but I'm definitely anxious and extremely irritated by everything. ,,,,,,,,,,,,,,,,,,,,,
,I am so ready for this,I hate that I can’t wait for things without sensing impending doom.,,,,,,,,,,,,,,,,,,,,,
,"I feel focused, motivated, and I feel like I could take on the world",Lately I've been having trouble sleeping becuase I'm scared my father will beat me again.,,,,,,,,,,,,,,,,,,,,,
,I feel like I am ready to take on the world,I cannot tell you how much I've been dreading this.,,,,,,,,,,,,,,,,,,,,,
,I am super prepared to get a ton of work done today, My own mind is tearing me apart and my actions weigh on me like I'm carrying a truck,,,,,,,,,,,,,,,,,,,,,
,"It is going to be a productive day today, I can just tell"," I was so scared of losing her, she was my last true friend",,,,,,,,,,,,,,,,,,,,,
,I've decided to knock out my to do list,I feel so depressed,,,,,,,,,,,,,,,,,,,,,
,I was super productive!,I am sad,,,,,,,,,,,,,,,,,,,,,
,It feels like I have hope again,I feel so low,,,,,,,,,,,,,,,,,,,,,
,I am hopeful for the future,I feel blue,,,,,,,,,,,,,,,,,,,,,
,I certainly am prepared for the presentation,I have cried for the past 6 hours,,,,,,,,,,,,,,,,,,,,,
,"You know, I've put in the effort, I've done the work, I am definitely ready for it",I just want to break down and cry,,,,,,,,,,,,,,,,,,,,,
,I am so freaking excited,My dog died today,,,,,,,,,,,,,,,,,,,,,
,Work went by in a breeze and I got so much done,We had to go to my grandma's funeral,,,,,,,,,,,,,,,,,,,,,
,I feel highly motivated,My grandfather died,,,,,,,,,,,,,,,,,,,,,
,"It's like, since we started getting some more customers, I now have more hope for everything", I don’t know what to do and I constantly feel like I’m going to cry,,,,,,,,,,,,,,,,,,,,,
,I definitely had more hope for how it was going to go,And I don't feel good either,,,,,,,,,,,,,,,,,,,,,
,But then I got my second wind and started running and pushing even harder," I either just lay on some piece of furniture and fail to get up, or surf the net looking for something that feels social, or if I'm lucky I can force myself to do some long, sedentary technical activity with tv in the background for company, like knitting or coloring or luckily paperwork for my job",,,,,,,,,,,,,,,,,,,,,
,Bro I am so close to reaching my goal of a 1600,I hate seeing my old classmates living their lives and prospering as I stay at home all day everyday doing absolutely nothing,,,,,,,,,,,,,,,,,,,,,
,I have been studying hard every day and working hard and pulling my ass off to get this done,I wish my chest was flatter.,,,,,,,,,,,,,,,,,,,,,
,Literally I cannot tell you how proud I am to present this tomorrow,I wish my body would match how I see myself in my mind.,,,,,,,,,,,,,,,,,,,,,
,I finished my rendering and it looks amazing!,"I'm happy I started transitioning, but I sometimes doubt whether it was the right choice.",,,,,,,,,,,,,,,,,,,,,
,the party is tonight and I just cannot wait,I wish I wasn't so awkward around people.,,,,,,,,,,,,,,,,,,,,,
,Honestly I'm pretty excited to get up there and present my findings at this year's ICEE conference,Who could love someone as messed up as me?,,,,,,,,,,,,,,,,,,,,,
,I've really been looking forward to playing this concert,"I miss spending weekends at my grandfather's, I still can't believe I won't see him again",,,,,,,,,,,,,,,,,,,,,
,How do I tell them that I'm really excited about the idea of moving out to Maryland?,"I'll find myself questioning my relationship with my wife, with my family, the purpose of my life, why I make efforts to accomplish anything",,,,,,,,,,,,,,,,,,,,,
,"I had my coffee, my favorite playlist going, and I was ready to get some work done.","I tend to just drift through the day doing the bare minimum, and I tend to make decisions or do things because I should",,,,,,,,,,,,,,,,,,,,,
,Ready as I'll ever be,"So I immediately started feeling depressed and anxious and yelled fuck fuck fuck fuck over and over again for several minutes",,,,,,,,,,,,,,,,,,,,,
,"I've put in the effort and what I'm going to do I will do, no matter how easy or hard",Then I just gave up on MARCo and started working,,,,,,,,,,,,,,,,,,,,,
,I was looking forward to trying out the different tools,"First group: I don't have a stable income, coronavirus is making it difficult to have a normal life, and I am stuck at home",,,,,,,,,,,,,,,,,,,,,
,I stayed up until 2 in the morning because I was just so laser focused on getting this app launched,"Second group: I feel purposeless in everything I do, and I feel like I have no control over my faith and am stupid",,,,,,,,,,,,,,,,,,,,,
,We are making good progress and I felt super inspired!,"It crushes me down now, so how could I successfully keep it going a year from now",,,,,,,,,,,,,,,,,,,,,
,I am inspired,She makes me feel worthless when I'm not able to provide her with everything she wants when she wants it,,,,,,,,,,,,,,,,,,,,,
,I have felt very inspired and productive,"
I don't know how to keep a friend and I don't know how to want to have friends",,,,,,,,,,,,,,,,,,,,,
,"I have been super motivated, productive, and inspired lately"," I tend to withdraw, cancel plans, and I prefer to just stay in and be by myself",,,,,,,,,,,,,,,,,,,,,
,"It's finally at a point where I get to do the fun work, the work I like doing", I suffered with depression for many years during this time and rarely go out or speak to people,,,,,,,,,,,,,,,,,,,,,
,This work has been super easy and I've been breezing through it,It's like I'll never escape these student loans.,,,,,,,,,,,,,,,,,,,,,
," I can be a total busy bee if I have people around me and interacting with me, I thrive in a commune type environment, if I'm working in a team I get shit done",I stayed in bed all day,,,,,,,,,,,,,,,,,,,,,
,,Took a depression nap for a few hours,,,,,,,,,,,,,,,,,,,,,
,,I don't see things getting better,,,,,,,,,,,,,,,,,,,,,
,,My sister has a boyfriend but I'm all alone,,,,,,,,,,,,,,,,,,,,,
,,No boy is ever going to like me,,,,,,,,,,,,,,,,,,,,,
,,No girl will ever love me again,,,,,,,,,,,,,,,,,,,,,
,,I miss her so much,,,,,,,,,,,,,,,,,,,,,
,,I miss feeling loved,,,,,,,,,,,,,,,,,,,,,
,,I am so depressed,,,,,,,,,,,,,,,,,,,,,
,,I have been struggling with severe depression,,,,,,,,,,,,,,,,,,,,,
,,I don't feel like I want to live anymore,,,,,,,,,,,,,,,,,,,,,
,,Nobody told me Happy Birthday today…,,,,,,,,,,,,,,,,,,,,,