#,Objective,Subjective,Happy,Sad,Stressed,Calm,Angry,Motivated,Unmotivated,Tired,Energetic,Disgusted,Social,Lonely,No Control,Control,Guilty,Accepting,Embarrassment,Pride
1,i'm having a rough night tonight, FEELING RELIEVED AT THE THOUGHT OF BEING KIDNAPPED AND RAPED AND KILLED WAS NORMAL BECAUSE IT WASN’T LIKE ANYONE WHO LOVED ME FELT I WOULD BE WORTH ANYTHING ELSE,I feel happy,I feel sad,I am stressed,I feel really calm,I am pissed off,I am feeling motivated for today,I am just ready to give up,My body just feels worn out all the time,I am so ready to go,It was absolutely disgusting,I get to see my girlfriend today,"I am so lonely, and I feel alone, and abandoned",I have no control over my life and everything is out of my control,It's like I finally have control,It is my fault we lost the game,I feel acceptance,I feel really embarrassed,I'm proud of myself
2,The fact is that things are bad, FUCK YOU,I am excited,I feel super depressed,Work is overwhelming me,I am at peace,I am furious,I worked really hard on this and it paid off in the end,I don't want to do this,Man I feel tired all the time,I had like 3 coffees already today I am so ready,He was acting so repulsively,I am looking forward to going to the dinner party tonight,I've never felt this alone in my entire life,I feel like everything is spiraling out of control and everything is going in circles and nothing is going right,I managed to muster up some self control,I am a filthy masturbator,I forgave myself,It was absolutely humiliating,I did a good job
3,It is a fact, FUCK YOU AND YOUR FUCKING “religion” you HYPOCRITICAL PERSON,I am filled with joy,I am in a slump,I am stressed out of my mind,I feel completely stress free,I feel really angry,My boss promoted me to the new job after I asked.,I feel ready to just give up on everything,I just got off of a really long shift and I'm beat,I feel like I'm bouncing off the walls,How could people be so stupid?,My coworkers and I had a good conversation about whether or not we were going to stay with the company after the merger,My boyfriend left me,Literally not one thing in my life is going right,It's like things are finally going right,"Because I couldn't keep my mouth shut, my brother got in trouble",I forgave her,My face flushed because it was so humiliating,I think I did a really good job here
4,This is the facts, You FUCKED up your god-damned life and had the AUDACITY to have another FUCKING CHILD who YOU TREATED WORSE THAN DIRT,Today was a good day,I suffer from severe depression,My life is just getting way too busy,I am completely tranquil,I am annoyed,I am so ready to take on tomorrow.,Then I just gave up on MARCo and started working,"I woke up later than I wanted to, and I just felt dead tired",I am ready!,How could somebody just not care about you after a whole five fucking years,I felt social today,Christine hung up on me abruptly,I am losing my mind,I managed to stop myself,I feel super guilty,"I forgave him, I've moved past it and I find acceptance",I've never felt so inferior and humiliated and embarrassed,I feel proud of what I managed to accomplish
5,These are the facts, You are MANIPULATIVE,Things are really good,It's been an off day,I feel super stressed all the time,My vacation has been completely tranquil,I am piqued with these assholes,I feel motivated.,I don't want to go to work today,"My head constantly feels like it has a bag of lead bricks in it, and it won't go away",I feel like I'm ready to run a marathon,I cannot believe there are such idiots in this world,I was very social today,It seems like my parents abandoned me,Everything is crashing around me,I said no to drugs for the first time today,I feel ashamed for touching her chest,I forgive him,They kept ridiculing me and I felt embarrassed as a result,I feel really proud for getting this dimploma
6,"Factually, this is what happened", And HYPOCRITICAL,I can't stop smiling,I feel really bummed,My anxiety is through the roof,Ah I feel relaxed,I feel so frustrated,I am so freaking pumped,I am dreading going to work tomorrow,I am tired,"After my coffee, I was wide awake.",There was a pile of cat poop on the floor that I had to deal with,I hung out with Anthony and Daniel for a few hours,How could I be so alone even around other people?,This past year has just been one defeat after another,I managed to turn down someone and it went okay!,It was so infuriating that I would mess up so badly,I feel forgiven,"I am not proud of that whatsoever, it was so humiliating",I managed to accomplish a lot today and I'm really happy as a result
7,I think I am stupid but this may not be the case, Im sorry this is so dumb,I have been smiling all day,I've been feeling really blue,I have anxiety,I've been relaxing,I am still very bitter,I am so ready for this,I have put this off for like three days now,I am sleepy,I feel ready to tackle today,I cannot believe I actually wanted to date someone so blatantly racist,This was the first time since COVID started that I was actually able to hang out with my cousins,Everybody has left me,I'll never be able to fix things,Thigns actually turned out better than I expected,Then I messed up really badly,It's like I finally have a community that accepts me,I feel ridiculed as a result,I feel confident and successful
8,I do not have evidence for that, I never want to stand up again,I feel content,I feel very inferior,I am really scared and nervous,This has been relaxing and calming,I feel really mad at her,"I feel focused, motivated, and I feel like I could take on the world",I cannot tell you how much I've been dreading this.,I feel like I could just pass out already,I am energetic,"And then he said the most racist, disgusting thing I've ever heard",My sister and I were up playing Wii until 3 in the morning,"I am stuck here, alone in my room","On any other day I feel like I'm just putting one step in front of the other, like I have so much going on that I can't focus on one thing for too long or I'll run out of time to do the other things I need to do",My life is going as planned,I'll never be able to forgive myself for yelling at her,"You know what, I'm over it, and I have come to a place of acceptance",It was so disrespectful to me,"That was a total success, and I am so happy for that!"
9,I have no evidence for that,Who could love someone as messed up as me?,I am doing very well,I feel really hurt,"I feel stressed, scared, nervous, and overwhelmed",It was really relaxing,I am still upset by his stupid freaking actions,I am definitely optimistic about how things are going to go,"I've been feeling unmotivated, and I have no motivation",I am tired. I am exhausted. I want to sleep.,I have a lot of energy,"I feel disgusted, repulsed, and find his behavior absolutely disappointed and revolted",Alex and I went out to the bar,My plans were cancelled so now I'm here ," I'll find myself questioning my relationship with my wife, with my family, the purpose of my life, why I make efforts to accomplish anything","Today actually went as planned, believe it or not",I feel so guilty for stealing from my mom,"It's totally fine, I've moved past it, and I finally feel acceptance",It was literally the worst I can't show my face again because I feel so embarrassed,I feel valued and worth something
10,I do have evidence for that,Nothing will ever go right again,"I feel so happy, excited, interested, and playful","I am sad, depressed, down, blue, and just all around hurt and empty",today was the most stressful nightmare of all time,"Today was calming, relaxing, and stress free","I am angry, furious, annoyed, and ticked off",I feel motivated and confident that today will go well,"I am unmotivated, I have no motivation, and I am pessimistic about how things are going to go","I could sleep for an eternity, my body feels so worn out and tired",I am bouncing off the walls with all this energy I have; I feel awake and motivated and focused,"Yuck, this was so disgusting",I got to hang out with friends and it was really nice to get to talk to people and be social1,"I am lonely, I feel alone, and my friends abandoned me","I have no control over anything, and I feel powerless to change anything",I feel empowered to take control of my life, That was a huge mistake that I made,"It was okay that I messed up, I've come to accept it","I'll never show my face in public again, I'm so humiliated","I feel proud of myself, and I'm going to give myself a pat on the back!"